home_off_k,home_off_bb,home_off_chit,home_off_hr,away_off_k,away_off_bb,away_off_chit,away_off_hr,home_sp_k,home_sp_bb,home_sp_chit,home_sp_stam,away_sp_k,away_sp_bb,away_sp_chit,away_sp_stam,home_pen_k,home_pen_bb,home_pen_chit,away_pen_k,away_pen_bb,away_pen_chit,park_runs,park_hr,sim_home_wp,sim_total,home_won,actual_total,date
0.22052680220777432,0.09147726890007832,0.321355759547942,0.1450246196047523,0.22557511205530276,0.08825078094867199,0.3163084167594026,0.1361492514710454,0.2456998269358363,0.09248018571084914,0.30560943512702743,23.0,0.21718057301535967,0.0796431782366944,0.3186773134803096,25.0,0.23509651140705504,0.08602161758034836,0.30488943014086667,0.21812108477045117,0.09512690459619645,0.3103630958203064,98,97,0.6366666666666667,8.06,0,7,2026-06-09
0.241839311744525,0.08417965477693179,0.3339912585777644,0.152463348053576,0.2129610407733461,0.10027691896739928,0.33366413917661203,0.1256695969924261,0.2309086251365663,0.09232567672535907,0.29056944136906027,22.0,0.21495322470599248,0.0955195568826503,0.30940842644870936,21.0,0.22592108028558894,0.09874003303007718,0.31591511281013235,0.23731696216670162,0.09441871914871838,0.307777963484033,96,96,0.5,8.01,1,12,2026-06-09
0.19943568390599845,0.09709497351592838,0.300615274193276,0.1348010683572261,0.2255593130646637,0.09858853661159397,0.31146178511013534,0.15537073853330158,0.20050269447512947,0.07395535846608042,0.3252576736867443,24.0,0.21744051939504122,0.08227824904687273,0.29758349135378365,24.0,0.25624328050373196,0.0898316810713044,0.3121078254897207,0.23018155407849672,0.09087153301039298,0.31256533862221303,97,96,0.44666666666666666,7.55,0,5,2026-06-09
0.21598061961388149,0.08880653719546235,0.3214990978294046,0.13915455894879816,0.21045837487591676,0.0842162185423016,0.31950093360579523,0.13234287784482382,0.22855952266213064,0.09180215246888188,0.30028788137481355,17.0,0.19254954414202893,0.0862354103458188,0.31076603054822877,24.0,0.2340882198151403,0.08545881212470127,0.3054252387623804,0.218518251468579,0.09454112486361133,0.30939230765329706,98,97,0.58,8.026666666666667,0,11,2026-06-10
0.2187706316118139,0.09699861960644295,0.3137852492000587,0.13310576203603808,0.22246181382698374,0.08582601680649032,0.3183967704193933,0.14119875089374734,0.20210026967065653,0.07816123024393846,0.30171257831031306,25.0,0.20338124913365732,0.09232122651076595,0.30502065147446267,22.0,0.21236240424283293,0.10363427440005704,0.32648693123004036,0.20891019265772268,0.08593028973000127,0.2960474097200682,104,92,0.5533333333333333,9.7,0,6,2026-06-11
0.22064049030962934,0.09078861824525221,0.3190004922096621,0.14503867758860028,0.2242271930138983,0.08800905820324662,0.3154503948156978,0.13635447776410337,0.23445629176555594,0.09747259045254635,0.3083298773421418,21.5,0.22102070086366765,0.09177653049663101,0.3133213975603161,21.5,0.23290635174444435,0.08486295885052737,0.3059132596035497,0.2183495071094313,0.09397722417917875,0.3072406938968574,98,97,0.61,7.59,1,9,2026-06-11
0.23337038464779514,0.09116535394168311,0.3208041270166025,0.15282429598014172,0.207434285228546,0.08768381677516295,0.3124173911314218,0.11922702252136845,0.20673987227350463,0.09327721381747195,0.3145545363291462,24.0,0.22746358621737567,0.08748408315535638,0.2915132427376381,21.5,0.22598045222729604,0.11659112692490439,0.3171347266105138,0.22431690283358738,0.09026151231496518,0.3107112097003537,100,103,0.5333333333333333,8.626666666666667,1,7,2026-06-12
0.21985070773362064,0.0935033055337126,0.31176773685404746,0.1371152835445325,0.22307050025711034,0.1027827085293059,0.3121259774695983,0.14650908568247464,0.21892712226778183,0.10587402714585575,0.31882565835980353,22.0,0.2549737950447316,0.06596293448768492,0.3128531005840472,25.0,0.25320832049200315,0.09060338052335462,0.3105529438773107,0.21509747821006575,0.09756578430938576,0.3171003891821288,97,96,0.52,8.32,1,4,2026-06-13
0.22597073403957532,0.09821930599933447,0.32358787891617863,0.14672169265259977,0.21674788319904723,0.09182202347992593,0.30676392694684357,0.13671072976660456,0.18637006754752136,0.0928818264833593,0.3087775438240653,22.0,0.18687370163553413,0.07831588412393567,0.3111858836118348,23.0,0.22197763734859322,0.09181298904824894,0.3203848765056126,0.2535366197646987,0.09456540570743785,0.2987028874008574,101,103,0.5066666666666667,9.633333333333333,0,12,2026-06-13
0.21496307072314202,0.07707055786069736,0.31062615833811497,0.1279510170804978,0.2253493652030163,0.08621073108326008,0.3185812910325914,0.13735508246928363,0.23945166294434955,0.07424595348917967,0.32423822786990486,26.0,0.2612524276116335,0.06672714279614479,0.29735111514051327,24.0,0.23033341493218706,0.0893510092728529,0.29765023291675724,0.20841589091312235,0.08555544237059243,0.29468329877866806,108,97,0.44,8.81,1,9,2026-06-13
